feature_name
numeric__max_bal_bc
numeric__total_bal_il
numeric__all_util
numeric__il_util
numeric__inq_fi
numeric__inq_last_12m
numeric__mths_since_last_delinq
numeric__mths_since_last_major_derog
numeric__mths_since_last_record
numeric__mths_since_rcnt_il
numeric__mths_since_recent_bc_dlq
numeric__mths_since_recent_revol_delinq
numeric__open_acc_6m
numeric__open_act_il
numeric__open_il_12m
numeric__open_il_24m
numeric__open_rv_12m
numeric__open_rv_24m
numeric__total_cu_tl
numeric__annual_inc
numeric__avg_cur_bal
numeric__bc_open_to_buy
numeric__bc_util
numeric__dti
numeric__pct_tl_nvr_dlq
numeric__percent_bc_gt_75
numeric__revol_bal
numeric__revol_util
numeric__tot_cur_bal
numeric__tot_hi_cred_lim
numeric__total_bal_ex_mort
numeric__total_il_high_credit_limit
numeric__total_rev_hi_lim
numeric__acc_now_delinq
numeric__acc_open_past_24mths
numeric__chargeoff_within_12_mths
numeric__collections_12_mths_ex_med
numeric__delinq_2yrs
numeric__delinq_amnt
numeric__fico_range_high
numeric__fico_range_low
numeric__inq_last_6mths
numeric__mo_sin_old_il_acct
numeric__mo_sin_old_rev_tl_op
numeric__mo_sin_rcnt_rev_tl_op
numeric__mo_sin_rcnt_tl
numeric__mort_acc
numeric__mths_since_recent_bc
numeric__mths_since_recent_inq
numeric__num_accts_ever_120_pd
numeric__num_actv_bc_tl
numeric__num_actv_rev_tl
numeric__num_bc_sats
numeric__num_bc_tl
numeric__num_il_tl
numeric__num_op_rev_tl
numeric__num_rev_accts
numeric__num_rev_tl_bal_gt_0
numeric__num_sats
numeric__num_tl_90g_dpd_24m
numeric__num_tl_op_past_12m
numeric__open_acc
numeric__pub_rec
numeric__pub_rec_bankruptcies
numeric__tax_liens
numeric__tot_coll_amt
numeric__total_acc
numeric__total_bc_limit
categorical__application_type_Individual
categorical__application_type_Joint App
categorical__term_ 36 months
categorical__term_ 60 months
categorical__emp_length_1 year
categorical__emp_length_10+ years
categorical__emp_length_2 years
categorical__emp_length_3 years
categorical__emp_length_4 years
categorical__emp_length_5 years
categorical__emp_length_6 years
categorical__emp_length_7 years
categorical__emp_length_8 years
categorical__emp_length_9 years
categorical__emp_length_< 1 year
categorical__emp_length_Missing
categorical__home_ownership_ANY
categorical__home_ownership_MORTGAGE
categorical__home_ownership_NONE
categorical__home_ownership_OTHER
categorical__home_ownership_OWN
categorical__home_ownership_RENT
categorical__purpose_car
categorical__purpose_credit_card
categorical__purpose_debt_consolidation
categorical__purpose_educational
categorical__purpose_home_improvement
categorical__purpose_house
categorical__purpose_major_purchase
categorical__purpose_medical
categorical__purpose_moving
categorical__purpose_other
categorical__purpose_renewable_energy
categorical__purpose_small_business
categorical__purpose_vacation
categorical__purpose_wedding
