column_name,dtype,unique_non_missing_count,missing_count,missing_percentage,is_constant_non_missing
hardship_amount,float64,6526,1362187,0.9946121618089234,False
dti,float64,7230,398,0.00029060300854431256,False
hardship_payoff_balance_amount,float64,7370,1362187,0.9946121618089234,False
funded_amnt_inv,float64,10043,0,0.0,False
tot_coll_amt,float64,12951,70276,0.05131260559914601,False
total_rec_late_fee,float64,16904,0,0.0,False
total_bc_limit,float64,17189,50030,0.036529820395658184,False
revol_bal_joint,float64,17645,1348919,0.984924421313029,False
out_prncp,float64,20073,0,0.0,False
out_prncp_inv,float64,20161,0,0.0,False
settlement_amount,float64,21924,1335369,0.9750307761728898,False
total_rev_hi_lim,float64,27046,70276,0.05131260559914601,False
max_bal_bc,float64,27660,812047,0.5929228675361392,False
title,object,63153,16944,0.012371802454208122,False
annual_inc,float64,65151,4,2.920633251701634e-06,False
bc_open_to_buy,float64,75206,64204,0.046879084323062925,False
avg_cur_bal,float64,77137,70299,0.05132939924034329,False
installment,float64,83990,0,0.0,False
revol_bal,float64,84446,0,0.0,False
total_bal_il,float64,119917,812047,0.5929228675361392,False
desc,object,124406,1243601,0.9080256081123509,False
recoveries,float64,132777,0,0.0,False
collection_recovery_fee,float64,146222,0,0.0,False
total_il_high_credit_limit,float64,163471,70276,0.05131260559914601,False
total_bal_ex_mort,float64,178967,50030,0.036529820395658184,False
total_rec_prncp,float64,220290,0,0.0,False
emp_title,object,383313,87969,0.06423129662973526,False
tot_cur_bal,float64,402890,70276,0.05131260559914601,False
tot_hi_cred_lim,float64,430134,70276,0.05131260559914601,False
total_rec_int,float64,523499,0,0.0,False
last_pymnt_amnt,float64,694529,0,0.0,False
total_pymnt_inv,float64,1027108,0,0.0,False
total_pymnt,float64,1280652,0,0.0,False
id,int64,1369566,0,0.0,False
url,object,1369566,0,0.0,False
