column_name,inferred_feature_type,recommended_preprocessing_group,needs_manual_review,issue_flags,dtype,total_count,non_missing_count,missing_count,missing_percentage,unique_non_missing_count,unique_non_missing_ratio,is_numeric,is_integer_like,date_parse_success_rate,sample_values
pct_tl_nvr_dlq,numeric_continuous,numeric_continuous,False,,float64,1369566,1299136,70430,0.05142504997933652,633,0.000487246908714715,True,False,,"76.9, 97.4, 100.0, 96.6, 96.3"
percent_bc_gt_75,numeric_continuous,numeric_continuous,False,,float64,1369566,1304949,64617,0.04718063970630112,245,0.0001877468008328295,True,False,,"0.0, 7.7, 50.0, 60.0, 100.0"
revol_bal,numeric_continuous,numeric_continuous,False,,float64,1369566,1369566,0,0.0,84446,0.061658948893299044,True,True,,"2765.0, 21470.0, 7869.0, 21929.0, 8822.0"
revol_util,numeric_continuous,numeric_continuous,False,,float64,1369566,1368642,924,0.0006746662811430774,1380,0.0010082987369962341,True,False,,"29.7, 19.2, 56.2, 64.5, 68.4"
tot_cur_bal,numeric_continuous,numeric_continuous,False,,float64,1369566,1299290,70276,0.05131260559914601,402890,0.31008473858799807,True,True,,"144904.0, 204396.0, 189699.0, 331730.0, 12798.0"
tot_hi_cred_lim,numeric_continuous,numeric_continuous,False,,float64,1369566,1299290,70276,0.05131260559914601,430134,0.3310531136235944,True,True,,"178050.0, 314017.0, 218418.0, 439570.0, 16900.0"
total_bal_ex_mort,numeric_continuous,numeric_continuous,False,,float64,1369566,1319536,50030,0.036529820395658184,178967,0.13562873616180232,True,True,,"7746.0, 39475.0, 18696.0, 95768.0, 12798.0"
total_il_high_credit_limit,numeric_continuous,numeric_continuous,False,,float64,1369566,1299290,70276,0.05131260559914601,163471,0.12581563777139823,True,True,,"13734.0, 24667.0, 14877.0, 88097.0, 4000.0"
total_rev_hi_lim,numeric_continuous,numeric_continuous,False,,float64,1369566,1299290,70276,0.05131260559914601,27046,0.020815984114400943,True,True,,"9300.0, 111800.0, 14000.0, 34000.0, 12900.0"
acc_now_delinq,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369537,29,2.1174591074836846e-05,8,5.841390192451902e-06,True,True,,"0.0, 1.0, 2.0, 4.0, 3.0"
acc_open_past_24mths,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1319536,50030,0.036529820395658184,55,4.1681318281577766e-05,True,True,,"4.0, 6.0, 10.0, 0.0, 7.0"
chargeoff_within_12_mths,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369421,145,0.00010587295537418423,11,8.032591876420764e-06,True,True,,"0.0, 1.0, 2.0, 3.0, 6.0"
collections_12_mths_ex_med,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369421,145,0.00010587295537418423,15,1.0953534376937406e-05,True,True,,"0.0, 1.0, 2.0, 3.0, 4.0"
delinq_2yrs,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369537,29,2.1174591074836846e-05,32,2.3365560769807608e-05,True,True,,"0.0, 1.0, 2.0, 3.0, 4.0"
delinq_amnt,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369537,29,2.1174591074836846e-05,2030,0.00148225276133467,True,True,,"0.0, 687.0, 40.0, 6.0, 62.0"
fico_range_high,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369566,0,0.0,48,3.504759902041961e-05,True,True,,"679.0, 719.0, 699.0, 694.0, 684.0"
fico_range_low,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369566,0,0.0,48,3.504759902041961e-05,True,True,,"675.0, 715.0, 695.0, 690.0, 680.0"
inq_last_6mths,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369536,30,2.1904749387762255e-05,28,2.0444880601897286e-05,True,True,,"1.0, 4.0, 0.0, 3.0, 2.0"
