column_name,dtype,missing_count,missing_percentage
policy_code,float64,0,0.0
purpose,object,0,0.0
pymnt_plan,object,0,0.0
recoveries,float64,0,0.0
revol_bal,float64,0,0.0
sub_grade,object,0,0.0
term,object,0,0.0
total_pymnt,float64,0,0.0
total_pymnt_inv,float64,0,0.0
total_rec_int,float64,0,0.0
total_rec_late_fee,float64,0,0.0
total_rec_prncp,float64,0,0.0
url,object,0,0.0
verification_status,object,0,0.0
