column_name,missing_count,missing_percentage,non_missing_count,inferred_feature_type,recommended_preprocessing_group,needs_manual_review,issue_flags
delinq_2yrs,29,2.1174591074836846e-05,1369537,numeric_discrete_or_count,numeric_discrete_or_count,False,
delinq_amnt,29,2.1174591074836846e-05,1369537,numeric_discrete_or_count,numeric_discrete_or_count,False,
earliest_cr_line,29,2.1174591074836846e-05,1369537,date_like,date_like,False,
open_acc,29,2.1174591074836846e-05,1369537,numeric_discrete_or_count,numeric_discrete_or_count,False,
pub_rec,29,2.1174591074836846e-05,1369537,numeric_discrete_or_count,numeric_discrete_or_count,False,
total_acc,29,2.1174591074836846e-05,1369537,numeric_discrete_or_count,numeric_discrete_or_count,False,
annual_inc,4,2.920633251701634e-06,1369562,numeric_continuous,numeric_continuous,False,
application_type,0,0.0,1369566,binary_or_two_value,binary,False,
fico_range_high,0,0.0,1369566,numeric_discrete_or_count,numeric_discrete_or_count,False,
fico_range_low,0,0.0,1369566,numeric_discrete_or_count,numeric_discrete_or_count,False,
home_ownership,0,0.0,1369566,categorical_low_cardinality,categorical_low_cardinality,False,
purpose,0,0.0,1369566,categorical_low_cardinality,categorical_low_cardinality,False,
revol_bal,0,0.0,1369566,numeric_continuous,numeric_continuous,False,
term,0,0.0,1369566,binary_or_two_value,binary,False,
